Game,Sample_score,Sample_reward,MeanScore,Mean_reward,Record
181200,4,-10.4,5.705491169977925,-8.000764,104
181300,3,-10.4,5.705554329840044,-8.000726,104
181400,16,-8.9,5.706582138919515,-8.000596,104
181500,4,-10.7,5.706380165289256,-8.000559,104
181600,4,-9.9,5.70612885462555,-8.000229,104
181700,4,-10.4,5.705756741882223,-8.000069,104
181800,4,-10.9,5.7053850385038505,-8.000033,104
181900,4,-9.9,5.705722924683892,-7.999824,104
182000,4,-10.9,5.7062912087912085,-8.000006,104
182100,4,-10.9,5.706485447556288,-7.9998016,104
182200,4,-10.9,5.706800219538968,-7.999431,104
182300,1,-10.45,5.70641250685683,-7.999305,104
182400,4,-10.4,5.706628289473684,-7.9991484,104
182500,4,-10.45,5.706816438356165,-7.999306,104
182600,4,-10.9,5.707174151150054,-7.999238,104
182700,3,-9.9,5.7068363437328955,-7.999188,104
182800,4,-10.9,5.706323851203501,-7.999193,104
182900,2,-9.9,5.706036085292509,-7.9993362,104
183000,4,-10.9,5.706060109289617,-7.9990935,104
183100,4,-10.4,5.70602949208083,-7.9989376,104
183200,4,-10.9,5.706353711790393,-7.9985366,104
183300,4,-10.4,5.705968357883251,-7.9982843,104
183400,4,-10.8,5.70567066521265,-7.998403,104
183500,6,-10.95,5.705771117166212,-7.9985404,104
183600,14,-9.25,5.705806100217865,-7.99858,104
183700,3,-10.4,5.705585193249864,-7.9984236,104
183800,2,-10.45,5.705462459194777,-7.9983277,104
183900,4,-11.4,5.705785753126699,-7.9981728,104
184000,14,-9.2,5.706097826086957,-7.998229,104
184100,14,-7.9,5.706404128191201,-7.99819,104
184200,3,-10.4,5.705846905537459,-7.997876,104
184300,4,-10.9,5.70636462289745,-7.9978757,104
184400,4,-10.9,5.706854663774403,-7.9976177,104
184500,4,-10.9,5.7072466124661245,-7.9976983,104
184600,4,-9.45,5.707399783315276,-7.9976063,104
184700,4,-9.9,5.707747698971305,-7.9975095,104
184800,1,-9.95,5.7078354978354975,-7.9974785,104
184900,4,-11.4,5.707863710113575,-7.9975243,104
185000,4,-9.45,5.707805405405406,-7.997263,104
185100,4,-10.2,5.707903835764451,-7.9968495,104
185200,14,-9.4,5.707607991360691,-7.9966555,104
185300,4,-10.4,5.70784133837021,-7.996604,104
